resultado_id,simulado_id,aluno_id,ano,status_realizacao,nota,acertos,tempo_finalizacao_min,inicio_simulado,dispositivo,tentativas,unidade_aplicacao
R00000041,S20210001,A00108,2021,Finalizado,46.5,32,73,2021-04-20 08:15,Tablet,3,Sul
R00000042,S20210001,A00791,2021,Finalizado,55.2,32,236,2021-06-02 12:00,Celular,,Centro
R00000043,S20210001,A00410,2021,Finalizado,21.3,12,117,2021-09-04 16:00,Papel,1,Sul
R00000044,S20210001,A00636,2021,Finalizado,66.5,41,174,2021-10-08 15:45,,1,
R00000045,S20210001,A00550,2021,Finalizado,25.8,15,207,2021/04/09 14:30,Papel,3,Online
R00000046,S20210001,A00648,2021,Finalizado,71.8,42,270,2021-09-15 18:15,Tablet,1,online
R00000047,S20210001,A00199,2021,Finalizado,45.9,26,189,2021-09-03 14:00,Papel,1,Sul
R00000048,S20210001,A00237,2021,Finalizado,58.5,37,247,2021-08-03 08:00,Papel,,Sul
R00000049,S20210001,A00347,2021,Finalizado,48.8,30,334,2021-05-03 12:30,Desktop,1,Online
R00000050,S20210001,A00288,2021,Finalizado,76.1,42,222,2021-11-21 08:45,Papel,,Aldeota
R00000051,S20210001,A00323,2021,Finalizado,74.4,44,209,2021-06-01 15:30,,3,Online
R00000052,S20210001,A00024,2021,Finalizado,54.7,34,179,2021-04-24 15:45,Tablet,2,Sul
R00000053,S20210001,A00559,2021,Finalizado,80.6,48,252,2021-08-07 08:00,desktop,1,Aldeota
R00000054,S20210001,A00507,2021,Ausente,,,,2021-04-01 16:00,Celular,1,
R00000055,S20210001,A00313,2021,Finalizado,28.8,19,100,2021-08-22 15:00,desktop,1,Sul
R00000056,S20210001,A00721,2021,Finalizado,66.5,43,256,2021/11/05 13:00,Tablet,1,online
R00000057,S20210001,A00796,2021,Finalizado,44.2,25,179,09/06/2021 17:30,,1,Sul
R00000058,S20210001,A00776,2021,Finalizado,55.2,35,194,2021-11-17 12:15,desktop,2,Sul
R00000059,S20210001,A00140,2021,finalizado,59.1,34,200,08-24-2021 14:30,desktop,1,Online
R00000060,S20210001,A00499,2021,Finalizado,64.6,38,269,2021-08-05 11:30,Tablet,,Online
R00000061,S20210001,A00057,2021,finalizado,52.0,30,181,09/09/2021,Celular,1,Sul
R00000062,S20210001,A00150,2021,Finalizado,101.8,60,221,28/09/2021 13:30,Tablet,1,Centro
R00000063,S20210001,A00586,2021,Finalizado,67.8,43,197,2021-05-21 15:30,Papel,,Aldeota
R00000064,S20210001,A00531,2021,Finalizado,23.4,13,198,2021-07-20 09:00,Celular,,Aldeota
R00000065,S20210001,A00050,2021,Finalizado,74.4,45,219,2021-05-26 09:15,Celular,2,
R00000066,S20210001,A00591,2021,Finalizado,71.4,44,250,2021-07-17 18:30,Celular,1,online
R00000067,S20210001,A00582,2021,Finalizado,56.1,35,264,2021-06-20 14:45,Celular,,Centro
R00000068,S20210001,A00340,2021,finalizado,89.0,53,159,2021-05-04 09:15,Papel,1,Aldeota
R00000069,S20210001,A00774,2021,Finalizado,58.0,36,215,2021-06-12 17:15,desktop,2,online
R00000070,S20210001,A00625,2021,Finalizado,67.8,43,205,2021-09-27 10:00,Celular,3,Online
R00000071,S20210001,A00494,2021,Ausente,,,,2021-08-21 17:45,Desktop,1,Online
R00000072,S20210001,A00672,2021,Incompleto,58.8,36,227,05/09/2021 18:45,,3,Aldeota
R00000073,S20210001,A00103,2021,Finalizado,79.6,47,244,2021-06-28 12:00,,,
R00000074,S20210001,A00296,2021,Ausente,,,,2021-11-23,Celular,1,
R00000075,S20210001,A00102,2021,Finalizado,60.9,35,184,2021-07-16 08:15,desktop,1,Aldeota
R00000076,S20210001,A00793,2021,Finalizado,66.6,41,210,2021-05-04 11:15,desktop,3,Online
R00000077,S20210001,A00306,2021,Ausente,,,,2021-07-13 17:30,,1,
R00000078,S20210001,A00241,2021,Finalizado,28.2,17,210,09-09-2021 17:45,Celular,3,Aldeota
R00000079,S20210001,A00750,2021,Finalizado,72.2,40,343,17/11/2021,Papel,1,Aldeota
R00000080,S20210001,A00072,2021,Finalizado,76.1,44,238,2021-08-05 16:00,desktop,1,Aldeota
R00000081,S20210001,A00132,2021,Ausente,,,,2021-09-21 19:30,Celular,1,Online
R00000082,S20210001,A00365,2021,Finalizado,53.7,33,182,2021-08-14 19:15,desktop,1,Sul
R00000083,S20210001,A00262,2021,Finalizado,53.3,30,190,14/11/2021 08:15,Celular,1,Online
R00000084,S20210001,A00363,2021,Finalizado,20.0,10,174,2021/06/02 12:15,Papel,2,Sul
R00000085,S20210001,A00025,2021,Finalizado,65.0,41,218,2021-04-19 14:15,,1,online
R00000086,S20210001,A00560,2021,Ausente,,,,2021-05-27 18:45,Tablet,2,Aldeota
R00000087,S20210001,A00176,2021,Finalizado,90.0,55,143,2021-05-15 13:00,Papel,1,Sul
R00000088,S20210001,A00372,2021,Finalizado,72.5,41,194,2021-04-15 12:45,Desktop,3,
R00000089,S20210001,A00554,2021,Incompleto,70.5,45,267,04-18-2021 08:30,,2,Online
R00000090,S20210001,A00409,2021,Finalizado,91.3,52,207,2021-09-15 09:45,Tablet,1,Centro
R00000091,S20210001,A00785,2021,Finalizado,66.5,38,217,2021-11-15 14:15,desktop,3,online
R00000092,S20210001,A00547,2021,Finalizado,92.8,53,275,2021-10-09 11:15,Desktop,1,
R00000093,S20210001,A00167,2021,Finalizado,60.1,35,194,2021-06-17 19:15,Tablet,3,Online
R00000094,S20210001,A00355,2021,Finalizado,44.8,28,277,2021-09-16 15:30,Desktop,1,Centro
R00000095,S20210001,A00280,2021,Finalizado,62.1,32,212,2021-05-23,Tablet,3,
R00000096,S20210001,A00144,2021,Finalizado,82.5,51,107,2021-10-08 10:45,Desktop,3,Online
R00000097,S20210001,A00191,2021,Finalizado,71.9,44,156,2021-06-17 11:15,Tablet,3,online
R00000098,S20210001,A00618,2021,Finalizado,54.8,30,243,2021-04-11 10:00,Desktop,2,online
R00000099,S20210001,A00542,2021,Finalizado,84.5,50,311,2021-08-22 12:00,Papel,,Sul
R00000100,S20210001,A00754,2021,Finalizado,69.5,43,211,2021-05-23 13:30,Desktop,3,Aldeota
R00000101,S20210001,A00443,2021,Finalizado,39.0,22,237,2021-09-04 15:30,Papel,1,Centro
R00000102,S20210001,A00605,2021,Finalizado,35.4,22,202,2021-07-25 13:15,,1,Centro
R00000103,S20210001,A00413,2021,Finalizado,35.4,19,246,2021-05-19 14:45,Celular,1,Sul
R00000104,S20210001,A00755,2021,Finalizado,57.6,34,286,2021-04-21 09:30,Celular,3,online
R00000105,S20210001,A00445,2021,Finalizado,73.7,41,162,20/08/2021 14:30,Celular,1,Online
R00000106,S20210001,A00289,2021,Ausente,,,,2021-10-21 16:45,Tablet,,
R00000107,S20210001,A00328,2021,Finalizado,58.3,34,324,2021-05-02 11:00,Papel,1,
R00000108,S20210001,A00382,2021,Finalizado,65.8,42,188,2021-07-15 13:00,,3,Sul
R00000109,S20210001,A00343,2021,Finalizado,72.2,43,195,2021-06-06 10:45,Desktop,1,Online
R00000110,S20210001,A00067,2021,Finalizado,56.7,31,200,2021-07-20 11:15,Tablet,2,Sul
R00000111,S20210001,A00698,2021,Finalizado,57.3,34,169,2021-09-24 10:15,Tablet,1,Online
R00000112,S20210001,A00211,2021,Finalizado,65.9,39,233,2021-04-07 15:45,,3,online
R00000113,S20210001,A00783,2021,Ausente,,,,2021-08-19 17:15,Celular,1,online
R00000114,S20210001,A00141,2021,Finalizado,60.4,36,177,2021-10-12 11:15,,,online
R00000115,S20210001,A00353,2021,Finalizado,59.9,34,169,2021-11-14 11:45,Celular,2,online
R00000116,S20210001,A00013,2021,Finalizado,44.1,25,100,2021-11-02 17:45,Papel,1,Centro
R00000117,S20210001,A00717,2021,Finalizado,31.3,18,217,2021-06-02 13:00,,1,Centro
R00000118,S20210001,A00689,2021,Finalizado,43.4,28,320,2021-11-27 15:45,Papel,3,online
R00000119,S20210001,A00392,2021,Finalizado,63.8,38,213,2021-07-03 08:15,Desktop,3,Aldeota
R00000120,S20210001,A00471,2021,Ausente,,,,2021-09-16,Papel,,Online
R00000121,S20210001,A00174,2021,,57.2,35,219,2021-10-07 13:45,Tablet,1,Aldeota
R00000122,S20210001,A00248,2021,Incompleto,56.9,32,195,10-20-2021 12:00,Papel,1,Sul
R00000123,S20210001,A00307,2021,Incompleto,62.2,39,173,2021-10-14,Desktop,1,Sul
R00000124,S20210001,A00524,2021,Finalizado,50.5,34,223,2021-05-26 12:30,,1,Aldeota
R00000125,S20210001,A00595,2021,Finalizado,68.3,41,271,2021-08-01 16:45,Papel,1,online
R00000126,S20210001,A00652,2021,Finalizado,69.8,44,179,2021-05-11 14:45,Celular,3,Aldeota
R00000127,S20210001,A00356,2021,Incompleto,82.1,46,239,2021-11-05 10:15,,3,
R00000128,S20210001,A00229,2021,Finalizado,40.6,27,201,2021-10-06 13:30,Tablet,1,Sul
R00000129,S20210001,A00053,2021,Finalizado,65.0,38,211,2021-04-13 08:00,Desktop,2,online
R00000130,S20210001,A00526,2021,Finalizado,67.5,41,170,2021-09-09 09:30,desktop,3,Centro
R00000131,S20210001,A00578,2021,Ausente,,,,2021/07/10 12:30,Tablet,1,Aldeota
R00000132,S20210001,A00720,2021,Finalizado,79.5,46,112,2021-07-08 09:45,,,Sul
R00000133,S20210001,A00268,2021,Ausente,,,,2021-09-13 11:45,Tablet,1,Centro
R00000134,S20210001,A00046,2021,Finalizado,71.8,45,274,2021-06-01 08:00,Papel,1,online
R00000135,S20210001,A00338,2021,Finalizado,58.4,38,249,2021-04-09 15:00,,1,Centro
R00000136,S20210001,A00212,2021,Finalizado,58.6,32,184,2021-07-20 09:00,Tablet,3,Aldeota
R00000137,S20210001,A00333,2021,Finalizado,70.9,46,264,2021-07-13 14:00,Desktop,1,Centro
R00000138,S20210001,A00196,2021,Incompleto,39.7,27,231,2021-07-04 19:45,desktop,1,
R00000139,S20210002,A00343,2021,Finalizado,93.5,44,155,2021-06-16 13:45,Celular,3,Online
R00000140,S20210002,A00471,2021,Finalizado,48.8,23,182,2021-08-10 13:15,Tablet,2,Aldeota
R00000141,S20210002,A00376,2021,Finalizado,52.5,23,183,2021-11-09 16:30,Tablet,1,Online
R00000142,S20210002,A00520,2021,Finalizado,61.0,27,277,2021-07-13,Tablet,,Centro
R00000143,S20210002,A00534,2021,Finalizado,51.5,22,256,2021-07-20 12:15,Celular,3,
R00000144,S20210002,A00237,2021,Finalizado,80.1,37,255,2021-05-08 10:30,Celular,1,
R00000145,S20210002,A00268,2021,finalizado,49.4,22,163,2021-07-18 19:30,Celular,1,Online
R00000146,S20210002,A00295,2021,Finalizado,57.5,28,173,2021-07-22,,1,online
R00000147,S20210002,A00289,2021,Finalizado,53.1,23,216,2021-11-28 12:00,Celular,3,online
R00000148,S20210002,A00011,2021,Finalizado,45.2,19,303,2021-10-18 14:45,,1,
R00000149,S20210002,A00227,2021,Finalizado,58.3,27,181,2021-06-28 14:30,Papel,1,Centro
R00000150,S20210002,A00618,2021,Finalizado,47.7,21,273,2021-04-01 13:15,Desktop,1,
R00000151,S20210002,A00582,2021,Finalizado,55.5,25,197,2021/05/08 16:45,Celular,1,Aldeota
R00000152,S20210002,A00521,2021,Finalizado,93.8,40,222,2021-09-20 19:00,Papel,3,Centro
R00000153,S20210002,A00275,2021,Ausente,,,,2021-08-08 09:30,Celular,1,Centro
R00000154,S20210002,A00754,2021,Ausente,,,,2021-04-11 09:00,,,Centro
R00000155,S20210002,A00798,2021,Finalizado,85.5,38,197,2021/06/06 17:30,Tablet,1,Centro
R00000156,S20210002,A00241,2021,Finalizado,68.8,30,257,2021-08-20 17:45,Papel,3,Online
R00000157,S20210002,A00356,2021,Finalizado,39.8,18,247,25/09/2021 19:00,Celular,1,online
R00000158,S20210002,A00652,2021,Finalizado,55.5,24,295,2021-05-15 17:30,Celular,2,Online
R00000159,S20210002,A00698,2021,Finalizado,40.2,19,168,2021-10-08 12:45,desktop,1,Aldeota
R00000160,S20210002,A00132,2021,Finalizado,54.9,23,214,2021-10-05 17:00,Desktop,3,Online
R00000161,S20210002,A00033,2021,Ausente,,,,2021-04-05 16:00,Desktop,1,Centro
R00000162,S20210002,A00307,2021,Finalizado,67.0,33,284,2021-06-28 11:15,Desktop,1,
R00000163,S20210002,A00103,2021,Finalizado,71.7,30,183,2021-09-28 08:45,Papel,1,Centro
R00000164,S20210002,A00636,2021,Finalizado,53.6,25,184,2021-05-21 11:00,Papel,3,Sul
R00000165,S20210002,A00775,2021,Finalizado,89.6,38,222,2021-10-23 10:45,Celular,1,online
R00000166,S20210002,A00487,2021,Finalizado,78.0,35,115,2021-04-02 11:45,Papel,3,Aldeota
R00000167,S20210002,A00328,2021,Finalizado,66.6,30,186,2021-07-10 10:00,Tablet,3,
R00000168,S20210002,A00536,2021,,42.0,18,57,2021/04/16 17:15,desktop,1,Online
R00000169,S20210002,A00526,2021,Finalizado,65.4,26,279,2021-11-04 17:00,Desktop,1,
R00000170,S20210002,A00347,2021,Finalizado,35.1,16,198,2021-04-09 15:15,Desktop,,
R00000171,S20210002,A00191,2021,Finalizado,49.9,23,226,2021-07-24 17:45,,2,online
R00000172,S20210002,A00346,2021,Finalizado,93.5,41,223,2021-11-08 14:00,desktop,2,Sul
R00000173,S20210002,A00413,2021,Finalizado,74.8,33,257,2021-11-08 10:15,,1,Online
R00000174,S20210002,A00627,2021,Incompleto,35.3,12,198,2021-08-18 11:15,,1,Sul
R00000175,S20210002,A00764,2021,Finalizado,66.2,29,278,2021/07/19 15:30,Desktop,3,Online
R00000176,S20210002,A00144,2021,Incompleto,55.8,27,199,2021-04-27 11:00,Desktop,1,
R00000177,S20210002,A00141,2021,Ausente,,,,2021-06-10,Desktop,,Sul
R00000178,S20210002,A00550,2021,Finalizado,51.1,27,228,2021-05-12 17:15,Desktop,,Sul
R00000179,S20210002,A00591,2021,Finalizado,39.4,19,169,2021-11-02 08:15,Papel,,online
R00000180,S20210002,A00199,2021,Incompleto,47.2,21,275,2021-10-02 10:45,Papel,2,online
R00000181,S20210002,A00120,2021,Finalizado,45.8,20,150,25/11/2021 10:15,,2,Sul
R00000182,S20210002,A00174,2021,Finalizado,49.0,20,154,05/10/2021 10:45,Celular,1,Online
R00000183,S20210002,A00578,2021,Finalizado,78.2,36,231,2021-11-08 09:00,,1,Sul
R00000184,S20210002,A00057,2021,Finalizado,82.9,34,183,2021-10-18 17:00,Desktop,3,online
R00000185,S20210002,A00313,2021,Finalizado,78.8,40,295,2021-09-21 13:45,,1,Online
R00000186,S20210002,A00382,2021,Finalizado,54.5,23,214,2021-04-24 15:00,Celular,,Aldeota
R00000187,S20210002,A00750,2021,Incompleto,81.6,39,155,2021/10/06 14:00,Papel,,Sul
R00000188,S20210002,A00294,2021,Finalizado,62.9,27,179,2021-06-12 12:00,Celular,1,Online
R00000189,S20210002,A00353,2021,Finalizado,79.5,39,181,2021-07-11 12:00,Tablet,2,Centro
R00000190,S20210002,A00288,2021,Finalizado,19.6,10,240,10-01-2021 19:45,Tablet,1,Online
R00000191,S20210002,A00494,2021,Finalizado,52.6,25,230,2021-08-26 08:45,desktop,2,Centro
R00000192,S20210002,A00507,2021,Finalizado,35.6,17,255,11-26-2021 14:30,Tablet,,
R00000193,S20210002,A00306,2021,Finalizado,34.5,15,209,2021-06-25 08:00,Papel,1,Online
R00000194,S20210002,A00004,2021,Finalizado,62.7,27,231,2021-05-11 15:15,desktop,,
R00000195,S20210002,A00689,2021,Finalizado,42.1,16,245,2021-09-28 09:30,Desktop,1,Online
R00000196,S20210002,A00078,2021,Finalizado,79.9,34,238,09/05/2021 09:15,Celular,,Sul
R00000197,S20210002,A00742,2021,Finalizado,71.7,33,200,2021-10-19 13:15,Tablet,1,online
R00000198,S20210002,A00481,2021,Finalizado,25.6,12,305,2021-09-04 09:15,Desktop,1,Online
R00000199,S20210002,A00102,2021,Finalizado,54.1,26,208,2021-05-16 10:45,Tablet,2,Aldeota
R00000200,S20210002,A00443,2021,Ausente,,,,2021-11-06 14:15,Celular,,
R00000201,S20210002,A00392,2021,Finalizado,87.5,39,227,05-22-2021 13:30,Tablet,1,online
R00000202,S20210002,A00196,2021,Finalizado,63.6,30,172,2021-06-10 18:45,Celular,1,Aldeota
R00000203,S20210002,A00140,2021,Finalizado,54.8,27,347,2021-11-20 18:45,desktop,3,Centro
R00000204,S20210002,A00046,2021,Incompleto,79.7,36,132,2021-05-24,,3,Centro
R00000205,S20210002,A00067,2021,Finalizado,81.8,38,264,2021-06-03 12:30,desktop,1,
R00000206,S20210002,A00072,2021,Finalizado,77.2,36,276,2021-11-06 19:45,,,online
R00000207,S20210002,A00112,2021,Ausente,,,,08/08/2021 16:30,Papel,1,Sul
R00000208,S20210002,A00372,2021,Finalizado,70.1,29,211,2021-04-27 08:15,,,Sul
R00000209,S20210002,A00338,2021,Ausente,,,,2021-11-01,desktop,2,Centro
R00000210,S20210002,A00755,2021,Finalizado,76.5,33,225,2021-06-10,Celular,3,online
R00000211,S20210002,A00296,2021,Ausente,,,,2021-07-07 17:00,desktop,3,Sul
R00000212,S20210002,A00502,2021,Incompleto,90.3,37,219,2021-11-26 17:15,Tablet,2,Centro
R00000213,S20210002,A00409,2021,Finalizado,91.7,42,230,2021-04-03 17:45,Tablet,2,
R00000214,S20210002,A00229,2021,Finalizado,92.4,41,263,09-21-2021 14:30,Desktop,3,Aldeota
R00000215,S20210002,A00026,2021,Finalizado,60.9,26,239,2021-05-21 12:45,Celular,2,Aldeota
R00000216,S20210002,A00524,2021,Finalizado,82.1,35,330,2021-05-16 16:30,Celular,2,Online
R00000217,S20210002,A00073,2021,Ausente,,,,2021-04-22 08:15,Desktop,2,Online
R00000218,S20210002,A00774,2021,Finalizado,53.4,25,241,2021-04-23 08:30,Papel,1,Online
R00000219,S20210002,A00783,2021,Finalizado,40.8,19,260,2021-06-27 14:00,Desktop,1,Centro
R00000220,S20210002,A00262,2021,Finalizado,49.5,23,192,2021-05-22 15:45,Celular,3,Sul
R00000221,S20210002,A00323,2021,Finalizado,53.8,25,266,2021-05-25 12:30,,2,
R00000222,S20210002,A00150,2021,Finalizado,88.1,37,122,2021-08-20 19:00,Papel,3,online
R00000223,S20210002,A00013,2021,Finalizado,58.3,25,313,2021-05-05 09:30,Celular,,Sul
R00000224,S20210002,A00721,2021,Finalizado,51.4,24,297,2021-04-23 09:30,desktop,1,Sul
R00000225,S20210002,A00445,2021,Ausente,,,,2021-04-10 19:00,Celular,3,Online
R00000226,S20210002,A00720,2021,Finalizado,54.7,25,202,2021-09-26 15:15,Papel,1,online
R00000227,S20210002,A00563,2021,Finalizado,28.6,12,188,2021-05-08 18:45,desktop,3,
R00000228,S20210002,A00009,2021,finalizado,76.1,39,344,2021-09-27 12:00,Celular,1,Online
R00000229,S20210002,A00368,2021,Finalizado,77.4,35,181,2021-06-05 14:30,,,Online
R00000230,S20210002,A00108,2021,Finalizado,44.2,18,285,2021-05-03 18:00,Desktop,3,online
R00000231,S20210002,A00355,2021,Finalizado,59.4,24,255,2021-09-17 19:15,Tablet,1,Centro
R00000232,S20210002,A00559,2021,Finalizado,66.2,30,268,2021-04-03 08:15,Celular,2,
R00000233,S20210002,A00115,2021,Finalizado,39.6,19,173,2021-06-26 17:00,Papel,1,Centro
R00000234,S20210002,A00354,2021,Finalizado,83.0,37,209,2021-04-01 19:45,desktop,,
R00000235,S20210002,A00554,2021,Finalizado,58.8,24,182,2021-05-22 15:45,Papel,2,Centro
R00000236,S20210002,A00216,2021,Finalizado,39.3,17,166,2021-07-15 19:15,Papel,1,online
R00000237,S20210002,A00280,2021,Finalizado,49.8,22,201,2021-08-11,Celular,,
R00000238,S20210002,A00648,2021,Finalizado,50.7,23,133,2021-05-01 19:30,,,Aldeota
R00000239,S20210002,A00542,2021,Finalizado,94.2,43,231,2021-09-15 13:15,Tablet,2,Sul
R00000240,S20210002,A00625,2021,Finalizado,47.7,22,157,2021-11-14 15:30,Tablet,1,
R00000241,S20210002,A00410,2021,Finalizado,55.3,25,152,2021-05-26 15:15,Tablet,3,online
R00000242,S20210002,A00167,2021,Finalizado,83.8,40,232,2021-09-14 09:00,desktop,2,online
R00000243,S20210002,A00776,2021,Finalizado,76.5,32,154,2021-08-13 15:00,Desktop,3,Sul
R00000244,S20210002,A00025,2021,Finalizado,50.5,25,183,2021-05-24 11:15,,,Sul
R00000245,S20210002,A00547,2021,Finalizado,48.8,22,219,2021-06-22 08:45,Desktop,1,Online
R00000246,S20210002,A00785,2021,Finalizado,16.7,11,321,2021-04-07 17:45,Tablet,2,
R00000247,S20210002,A00793,2021,Incompleto,47.5,23,147,2021/05/10 18:00,,2,
R00000248,S20210002,A00605,2021,Finalizado,84.1,42,268,2021-04-27 13:00,Tablet,3,Centro
R00000249,S20210002,A00333,2021,Finalizado,105,45,224,2021-06-07 19:00,Celular,,Aldeota
R00000250,S20210002,A00531,2021,Finalizado,70.8,33,231,2021-07-19 16:45,,1,
R00000251,S20210002,A00796,2021,Finalizado,61.6,26,145,2021-10-28 12:00,Desktop,3,online
R00000252,S20210002,A00458,2021,Finalizado,45.8,19,339,2021-07-11,Celular,3,Sul
R00000253,S20210002,A00340,2021,Finalizado,65.5,27,219,2021-07-27 10:30,Papel,1,Sul
R00000254,S20210002,A00325,2021,Finalizado,70.6,33,185,11-11-2021 13:00,Celular,2,
R00000255,S20210002,A00717,2021,finalizado,61.1,28,228,2021-06-01,Desktop,2,
R00000256,S20210002,A00672,2021,Finalizado,47.6,21,234,2021-04-07 13:30,Desktop,,
R00000257,S20210002,A00365,2021,Finalizado,49.0,27,295,2021-04-13 13:30,desktop,,Centro
R00000258,S20210002,A00621,2021,Finalizado,73.1,32,322,2021-06-09 10:00,desktop,1,Centro
R00000259,S20210002,A00791,2021,Finalizado,59.4,24,274,2021-05-02 17:00,Tablet,2,Online
R00000260,S20210002,A00024,2021,Finalizado,49.4,21,271,2021-09-03 11:30,desktop,1,Centro
R00000261,S20210002,A00050,2021,Finalizado,47.1,22,233,08/07/2021 19:30,Desktop,1,Sul
R00000262,S20210002,A00137,2021,Incompleto,71.7,35,266,2021-09-21 10:30,Tablet,1,
R00000263,S20210002,A00211,2021,Finalizado,78.5,35,309,2021-04-16 12:00,Celular,1,Centro
R00000264,S20210002,A00248,2021,Finalizado,97.9,45,178,2021-11-27 18:00,Desktop,,online
R00000265,S20210002,A00560,2021,Finalizado,62.7,29,203,2021-11-07 14:15,Papel,3,online
R00000266,S20210002,A00499,2021,Finalizado,48.2,22,271,2021-06-26,Desktop,1,
R00000267,S20210002,A00530,2021,Finalizado,78.9,34,260,2021-08-17 15:45,Celular,1,online
R00000268,S20210002,A00085,2021,Finalizado,87.5,40,201,2021-07-24 19:30,,3,Aldeota
R00000269,S20210002,A00363,2021,Finalizado,76.0,34,171,2021-11-02 19:45,desktop,1,Aldeota
R00000270,S20210002,A00765,2021,Finalizado,55.9,26,148,2021-11-17,Tablet,1,online
R00000271,S20210002,A00176,2021,Finalizado,52.2,24,172,2021-07-03 08:15,,,Centro
R00000272,S20210002,A00040,2021,Finalizado,73.1,34,177,2021-07-10 11:15,,,Sul
R00000273,S20210002,A00053,2021,Finalizado,83.2,40,258,2021-10-21 08:00,,,Centro
R00000274,S20210002,A00586,2021,Finalizado,64.3,27,222,2021-09-08 09:00,Papel,1,Centro
R00000275,S20210002,A00595,2021,Finalizado,47.3,21,100,2021-10-21 12:00,Tablet,1,online
R00000276,S20210002,A00212,2021,Finalizado,52.0,21,277,2021-06-16 14:00,Tablet,2,Aldeota
R00000277,S20210003,A00636,2021,Finalizado,105,90,169,2021-09-14 11:45,,3,Sul
